"filename", "language", "HTML", "JavaScript", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\README.md", "Markdown", 0, 0, 0, 1, 0, 1, 2
"c:\Users\vestb\Downloads\ProsjektHelseNorge\bmisite.html", "HTML", 62, 0, 0, 0, 0, 12, 74
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\bmi.css", "PostCSS", 0, 0, 105, 0, 0, 19, 124
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\kcal.css", "PostCSS", 0, 0, 79, 0, 0, 15, 94
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 920, 0, 22, 188, 1130
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\calculator.html", "HTML", 32, 0, 0, 0, 0, 5, 37
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\kcal.html", "HTML", 31, 0, 0, 0, 0, 10, 41
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\mcqsystem.html", "HTML", 362, 0, 0, 0, 1, 39, 402
"c:\Users\vestb\Downloads\ProsjektHelseNorge\helsesøk.html", "HTML", 67, 0, 0, 0, 0, 10, 77
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 144, 0, 0, 0, 0, 13, 157
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\bmi.js", "JavaScript", 0, 46, 0, 0, 2, 12, 60
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\calorie.js", "JavaScript", 0, 24, 0, 0, 0, 7, 31
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\reaction.js", "JavaScript", 0, 76, 0, 0, 0, 17, 93
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 53, 0, 0, 5, 13, 71
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\search.js", "JavaScript", 0, 87, 0, 0, 1, 18, 106
"c:\Users\vestb\Downloads\ProsjektHelseNorge\livogkost.html", "HTML", 79, 0, 0, 0, 0, 12, 91
"c:\Users\vestb\Downloads\ProsjektHelseNorge\omoss.html", "HTML", 68, 0, 0, 0, 0, 12, 80
"c:\Users\vestb\Downloads\ProsjektHelseNorge\reaction.html", "HTML", 101, 0, 0, 0, 0, 10, 111
"Total", "-", 946, 286, 1104, 1, 31, 413, 2781
