"filename", "language", "HTML", "Markdown", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\README.md", "Markdown", 0, 1, 0, 0, 0, 1, 2
"c:\Users\vestb\Downloads\ProsjektHelseNorge\bmisite.html", "HTML", 86, 0, 0, 0, 0, 15, 101
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\mcq.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 1157, 0, 28, 222, 1407
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\mcqsystem.html", "HTML", 289, 0, 0, 0, 1, 23, 313
"c:\Users\vestb\Downloads\ProsjektHelseNorge\helsesøk.html", "HTML", 67, 0, 0, 0, 0, 10, 77
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 145, 0, 0, 0, 0, 13, 158
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\bmi.js", "JavaScript", 0, 0, 0, 46, 2, 12, 60
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\calorie.js", "JavaScript", 0, 0, 0, 43, 0, 8, 51
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", 0, 0, 0, 69, 5, 21, 95
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\reaction.js", "JavaScript", 0, 0, 0, 76, 0, 17, 93
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 0, 0, 53, 5, 13, 71
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\search.js", "JavaScript", 0, 0, 0, 87, 1, 18, 106
"c:\Users\vestb\Downloads\ProsjektHelseNorge\livogkost.html", "HTML", 109, 0, 0, 0, 0, 20, 129
"c:\Users\vestb\Downloads\ProsjektHelseNorge\omoss.html", "HTML", 68, 0, 0, 0, 0, 12, 80
"c:\Users\vestb\Downloads\ProsjektHelseNorge\reaction.html", "HTML", 101, 0, 0, 0, 0, 10, 111
"Total", "-", 865, 1, 1157, 374, 42, 416, 2855
