"filename", "language", "HTML", "PostCSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 26, 0, 0, 0, 1, 3, 30
"c:\Users\vestb\Downloads\ProsjektHelseNorge\assets\images\site.webmanifest", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\bmisite.html", "HTML", 4, 0, 0, 0, 0, 0, 4
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\mcq.css", "PostCSS", 0, 160, 0, 0, 1, 1, 162
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 72, 0, 0, 1, 9, 82
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\mcqsystem.html", "HTML", -166, 0, 0, 0, 0, -4, -170
"c:\Users\vestb\Downloads\ProsjektHelseNorge\helsesøk.html", "HTML", 4, 0, 0, 0, 0, 0, 4
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 4, 0, 0, 0, 0, 0, 4
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\admin.js", "JavaScript", 0, 0, 28, 0, 9, 7, 44
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\adminpanel.js", "JavaScript", 0, 0, 39, 0, 3, 9, 51
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 0, 5, 0, 0, 0, 5
"c:\Users\vestb\Downloads\ProsjektHelseNorge\livogkost.html", "HTML", 4, 0, 0, 0, 0, 0, 4
"c:\Users\vestb\Downloads\ProsjektHelseNorge\omoss.html", "HTML", 4, 0, 0, 0, 0, 0, 4
"c:\Users\vestb\Downloads\ProsjektHelseNorge\reaction.html", "HTML", 4, 0, 0, 0, 0, 0, 4
"c:\Users\vestb\Downloads\ProsjektHelseNorge\test.js", "JavaScript", 0, 0, 10, 0, 0, 9, 19
"Total", "-", -116, 232, 82, 1, 15, 34, 248
