"filename", "language", "HTML", "Markdown", "PostCSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 26, 0, 0, 0, 0, 1, 3, 30
"c:\Users\vestb\Downloads\ProsjektHelseNorge\assets\images\site.webmanifest", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\bmisite.html", "HTML", 90, 0, 0, 0, 0, 0, 15, 105
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\mcq.css", "PostCSS", 0, 0, 160, 0, 0, 1, 2, 163
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 1229, 0, 0, 29, 231, 1489
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\mcqsystem.html", "HTML", 123, 0, 0, 0, 0, 1, 19, 143
"c:\Users\vestb\Downloads\ProsjektHelseNorge\helsesøk.html", "HTML", 71, 0, 0, 0, 0, 0, 10, 81
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 149, 0, 0, 0, 0, 0, 13, 162
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\admin.js", "JavaScript", 0, 0, 0, 28, 0, 9, 7, 44
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\adminpanel.js", "JavaScript", 0, 0, 0, 39, 0, 3, 9, 51
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\bmi.js", "JavaScript", 0, 0, 0, 46, 0, 2, 12, 60
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\calorie.js", "JavaScript", 0, 0, 0, 43, 0, 0, 8, 51
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", 0, 0, 0, 69, 0, 5, 21, 95
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\reaction.js", "JavaScript", 0, 0, 0, 76, 0, 0, 17, 93
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 0, 0, 58, 0, 5, 13, 76
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\search.js", "JavaScript", 0, 0, 0, 87, 0, 1, 18, 106
"c:\Users\vestb\Downloads\ProsjektHelseNorge\livogkost.html", "HTML", 113, 0, 0, 0, 0, 0, 20, 133
"c:\Users\vestb\Downloads\ProsjektHelseNorge\omoss.html", "HTML", 72, 0, 0, 0, 0, 0, 12, 84
"c:\Users\vestb\Downloads\ProsjektHelseNorge\reaction.html", "HTML", 105, 0, 0, 0, 0, 0, 10, 115
"c:\Users\vestb\Downloads\ProsjektHelseNorge\test.js", "JavaScript", 0, 0, 0, 10, 0, 0, 9, 19
"Total", "-", 749, 1, 1389, 456, 1, 57, 450, 3103
