"filename", "language", "HTML", "JavaScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\pdf\frame\mcqsystem.html", "HTML", 123, 0, 0, 0, 1, 18, 142
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\site.webmanifest", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\assets\images\site.webmanifest", "JSON", 0, 0, 0, -1, 0, 0, -1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 24, 0, 0, 5, 29
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\mcqsystem.html", "HTML", -123, 0, 0, 0, -1, -19, -143
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 2, 0, 0, 0, 0, 1, 3
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\adminpanel.js", "JavaScript", 0, 33, 0, 0, 1, 9, 43
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", 0, 2, 0, 0, -1, 5, 6
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\test.js", "JavaScript", 0, -28, 0, 0, -9, -7, -44
"c:\Users\vestb\Downloads\ProsjektHelseNorge\test.js", "JavaScript", 0, -10, 0, 0, 0, -9, -19
"Total", "-", 3, -3, 24, 0, -9, 4, 19
