"filename", "language", "HTML", "JavaScript", "Markdown", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 49, 0, 0, 0, 0, 0, 12, 61
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\pdf\frame\mcqsystem.html", "HTML", 28, 0, 0, 0, 0, 1, 3, 32
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\site.webmanifest", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\bmisite.html", "HTML", 90, 0, 0, 0, 0, 0, 15, 105
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\mcq.css", "PostCSS", 0, 0, 0, 167, 0, 1, 5, 173
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 0, 1306, 0, 21, 243, 1570
"c:\Users\vestb\Downloads\ProsjektHelseNorge\helsesøk.html", "HTML", 71, 0, 0, 0, 0, 0, 11, 82
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 151, 0, 0, 0, 0, 0, 15, 166
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\adminpanel.js", "JavaScript", 0, 143, 0, 0, 0, 3, 42, 188
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\bmi.js", "JavaScript", 0, 46, 0, 0, 0, 2, 12, 60
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\calorie.js", "JavaScript", 0, 43, 0, 0, 0, 0, 8, 51
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", 0, 197, 0, 0, 0, 0, 19, 216
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\reaction.js", "JavaScript", 0, 76, 0, 0, 0, 0, 17, 93
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 58, 0, 0, 0, 5, 14, 77
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\search.js", "JavaScript", 0, 87, 0, 0, 0, 1, 18, 106
"c:\Users\vestb\Downloads\ProsjektHelseNorge\livogkost.html", "HTML", 113, 0, 0, 0, 0, 0, 20, 133
"c:\Users\vestb\Downloads\ProsjektHelseNorge\omoss.html", "HTML", 72, 0, 0, 0, 0, 0, 12, 84
"c:\Users\vestb\Downloads\ProsjektHelseNorge\reaction.html", "HTML", 105, 0, 0, 0, 0, 0, 10, 115
"Total", "-", 679, 650, 2, 1473, 1, 34, 476, 3315
