"filename", "language", "Markdown", "HTML", "JavaScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 0, 46, 0, 0, 0, 0, 11, 57
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\site.webmanifest", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\bmisite.html", "HTML", 0, 90, 0, 0, 0, 0, 15, 105
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\mcq.css", "PostCSS", 0, 0, 0, 158, 0, 0, 25, 183
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 0, 1314, 0, 17, 235, 1566
"c:\Users\vestb\Downloads\ProsjektHelseNorge\helsesøk.html", "HTML", 0, 71, 0, 0, 0, 0, 11, 82
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 0, 167, 0, 0, 0, 0, 18, 185
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\adminpanel.js", "JavaScript", 0, 0, 143, 0, 0, 3, 42, 188
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\bmi.js", "JavaScript", 0, 0, 46, 0, 0, 2, 12, 60
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\calorie.js", "JavaScript", 0, 0, 43, 0, 0, 0, 8, 51
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", 0, 0, 193, 0, 0, 0, 18, 211
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\reaction.js", "JavaScript", 0, 0, 76, 0, 0, 0, 17, 93
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 0, 58, 0, 0, 5, 14, 77
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\search.js", "JavaScript", 0, 0, 87, 0, 0, 0, 17, 104
"c:\Users\vestb\Downloads\ProsjektHelseNorge\livogkost.html", "HTML", 0, 113, 0, 0, 0, 0, 20, 133
"c:\Users\vestb\Downloads\ProsjektHelseNorge\omoss.html", "HTML", 0, 72, 0, 0, 0, 0, 12, 84
"c:\Users\vestb\Downloads\ProsjektHelseNorge\reaction.html", "HTML", 0, 105, 0, 0, 0, 0, 10, 115
"Total", "-", 2, 664, 646, 1472, 1, 27, 485, 3297
