"filename", "language", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\about.html", "HTML", 72, 0, 0, 0, 0, 12, 84
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 46, 0, 0, 0, 0, 9, 55
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\site.webmanifest", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\bmi.html", "HTML", 90, 0, 0, 0, 0, 15, 105
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\mcq.css", "PostCSS", 0, 0, 0, 158, 0, 25, 183
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 0, 1212, 10, 185, 1407
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 160, 0, 0, 0, 0, 16, 176
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\adminpanel.js", "JavaScript", 0, 141, 0, 0, 0, 40, 181
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\bmi.js", "JavaScript", 0, 46, 0, 0, 0, 11, 57
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\calorie.js", "JavaScript", 0, 43, 0, 0, 0, 8, 51
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", 0, 193, 0, 0, 0, 18, 211
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\reaction.js", "JavaScript", 0, 76, 0, 0, 0, 17, 93
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 64, 0, 0, 3, 17, 84
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\search.js", "JavaScript", 0, 87, 0, 0, 0, 17, 104
"c:\Users\vestb\Downloads\ProsjektHelseNorge\lifestyle.html", "HTML", 113, 0, 0, 0, 0, 20, 133
"c:\Users\vestb\Downloads\ProsjektHelseNorge\reaction.html", "HTML", 101, 0, 0, 0, 0, 11, 112
"c:\Users\vestb\Downloads\ProsjektHelseNorge\search.html", "HTML", 71, 0, 0, 0, 0, 11, 82
"Total", "-", 653, 650, 1, 1370, 13, 432, 3119
